Simulation,Auction,Bidder,Budget,TotalWinningValue,TotalWinningValueDiscounted,TotalWinningCost,TotalWinningCostAdjusted,TotalProfit,FirstBackupRound,FirstBackup2Round,NumBackups,NumBackup2s
38,98,0,2062749717,911018313,911018313,745931000,745931000,165087313,0,0,0,0,
38,98,1,1421943268,808258547,808258547,688692000,688692000,119566547,0,0,0,0,
38,98,2,800121079,960638249,960638249,787992000,787992000,172646249,0,0,0,0,
38,98,3,413758664,401562163,401562163,328157000,328157000,73405163,0,0,0,0,
38,98,4,1683492671,726135889,726135889,627018000,627018000,99117889,0,0,0,0,
38,98,5,1025889072,904489001,904489001,776643000,776643000,127846001,0,0,0,0,
38,98,6,209797595,102167648,102167648,93682000,93682000,8485648,0,0,0,0,
38,98,7,104519669,109612273,109612273,96321000,96321000,13291273,0,0,0,0,
38,98,8,27708131,35268919,35268919,27081000,27081000,8187919,0,0,0,0,
38,98,9,206966862,238627600,238627600,187610000,187610000,51017600,0,0,0,0,
38,98,10,29081694,24580613,24580613,21482000,21482000,3098613,0,0,0,0,
38,98,11,87054073,41621987,41621987,37376000,37376000,4245987,0,0,0,0,
38,98,12,156741703,184197162,184197162,133522000,133522000,50675162,0,0,0,0,
38,98,13,19104562,13994642,13994642,10711000,10711000,3283642,0,0,0,0,
38,98,14,97821330,59731045,59731045,50698000,50698000,9033045,0,0,0,0,
38,98,15,73651420,50309653,50309653,47785000,47785000,2524653,0,0,0,0,
38,98,16,136810609,78706127,78706127,73323000,73323000,5383127,0,0,0,0,
38,98,17,171319708,60860197,60860197,56632000,56632000,4228197,0,0,0,0,
38,98,18,133203942,14580231,14580231,10839000,10839000,3741231,0,0,0,0,
38,98,19,95661887,76477177,76477177,71910000,71910000,4567177,0,0,0,0,
38,98,20,71208520,2710313,2710313,2354000,2354000,356313,0,0,0,0,
38,98,21,23071275,19969569,19969569,18075000,18075000,1894569,0,0,0,0,
38,98,22,85307043,47847255,47847255,44757000,44757000,3090255,0,0,0,0,
38,98,23,28625190,52935,52935,25000,25000,27935,0,0,0,0,
38,98,24,25869719,4023889,4023889,3222000,3222000,801889,0,0,0,0,
38,98,25,82299798,2781194,2781194,2153000,2153000,628194,0,0,0,0,
38,98,26,81563531,2021078,2021078,1295000,1295000,726078,0,0,0,0,
38,98,27,79723260,1799476,1799476,1460000,1460000,339476,0,0,0,0,
38,98,28,91792126,2453164,2453164,1863000,1863000,590164,0,0,0,0,
38,98,29,83177480,340809,340809,225000,225000,115809,0,0,0,0,
