Round,Bidder,PEA,Category,BidType,Quantity,Price,Switch To Category,PrevProcessedDemand,CurrentProcessedDemand,PostedPrice,ClockPrice,ExcessDemand,FinalPrice,FinalClockPrice,FinalExcessDemand,Budget,TotalExposure
1,0,PEA002,C1,Simple,3,100000000,,0,1,100000000,100000000,0,100000000,110001000,12,2062749717,305635000,406792487; 405690783; 396692852
1,0,PEA004,C1,Simple,2,47500000,,0,1,47500000,47500000,0,47500000,52251000,5,2062749717,305635000,160833725; 152577443
1,0,PEA018,C1,Simple,2,16500000,,0,2,16500000,16500000,0,16500000,18150000,18,2062749717,305635000,38064624; 36558172
1,0,PEA016,C1,Simple,1,20000000,,0,1,20000000,20000000,0,20000000,22000000,8,2062749717,305635000,39227542
1,0,PEA020,C1,Simple,2,11500000,,0,2,11500000,11500000,0,11500000,12651000,5,2062749717,305635000,26074091; 24373493
1,0,PEA022,C1,Simple,2,11000000,,0,1,11000000,11000000,0,11000000,12101000,7,2062749717,305635000,23044828; 21831337
1,0,PEA019,C1,Simple,1,12500000,,0,1,12500000,12500000,0,12500000,13751000,2,2062749717,305635000,24488234
1,0,PEA026,C1,Simple,2,9000000,,0,2,9000000,9000000,0,9000000,9900000,4,2062749717,305635000,18904577; 18254401
1,0,PEA027,C1,Simple,2,9000000,,0,1,9000000,9000000,0,9000000,9900000,8,2062749717,305635000,18716430; 18287855
1,0,PEA042,C1,Simple,2,2500000,,0,1,2500000,2500000,0,2500000,2750000,7,2062749717,305635000,10053582; 9698956
1,0,PEA034,C1,Simple,3,4600000,,0,2,4600000,4600000,0,4600000,5060000,3,2062749717,305635000,11079519; 11065760; 10739888
1,0,PEA413,C1,Simple,1,125000,,0,0,125000,125000,0,125000,138000,5,2062749717,305635000,2104415
1,0,PEA119,C1,Simple,1,425000,,0,1,425000,425000,0,425000,468000,0,2062749717,305635000,2227134
1,0,PEA156,C1,Simple,2,700000,,0,2,700000,700000,0,700000,771000,7,2062749717,305635000,2394554; 2253302
1,0,PEA091,C1,Simple,1,2200000,,0,0,2200000,2200000,0,2200000,2420000,4,2062749717,305635000,3841783
1,0,PEA070,C1,Simple,2,750000,,0,2,750000,750000,0,750000,750000,0,2062749717,305635000,2289612; 2155003
1,0,PEA104,C1,Simple,1,1900000,,0,1,1900000,1900000,0,1900000,2091000,3,2062749717,305635000,3077905
